Input size		- (48x48)
Calculated block dimensions as: 1 x 1
Element # 0 of GPU resize: 75.82704163
Element # 0 of CPU resize: 75.82704163
Element # 1 of GPU resize: 112.13951111
Element # 1 of CPU resize: 112.13951111
Element # 2 of GPU resize: 112.82337952
Element # 2 of CPU resize: 112.82337952
Element # 3 of GPU resize: 111.66360474
Element # 3 of CPU resize: 111.66360474
Element # 4 of GPU resize: 110.38064575
Element # 4 of CPU resize: 110.38064575
Element # 5 of GPU resize: 110.98986816
Element # 5 of CPU resize: 110.98986816
Element # 6 of GPU resize: 111.73332214
Element # 6 of CPU resize: 111.73332214
Element # 7 of GPU resize: 112.02909851
Element # 7 of CPU resize: 112.02909851
Element # 8 of GPU resize: 112.45262146
Element # 8 of CPU resize: 112.45262146
Element # 9 of GPU resize: 113.04183960
Element # 9 of CPU resize: 113.04183960
Element # 10 of GPU resize: 113.35627747
Element # 10 of CPU resize: 113.35627747
Element # 11 of GPU resize: 113.56358337
Element # 11 of CPU resize: 113.56358337
Element # 12 of GPU resize: 113.84498596
Element # 12 of CPU resize: 113.84498596
Element # 13 of GPU resize: 113.91682434
Element # 13 of CPU resize: 113.91682434
Element # 14 of GPU resize: 113.94329834
Element # 14 of CPU resize: 113.94329834
Element # 15 of GPU resize: 113.74884033
Element # 15 of CPU resize: 113.74884033
Element # 16 of GPU resize: 112.85713196
Element # 16 of CPU resize: 112.85713196
Element # 17 of GPU resize: 111.03129578
Element # 17 of CPU resize: 111.03129578
Element # 18 of GPU resize: 106.22253418
Element # 18 of CPU resize: 106.22253418
Element # 19 of GPU resize: 93.01509094
Element # 19 of CPU resize: 93.01509094
Element # 20 of GPU resize: 60.39385986
Element # 20 of CPU resize: 60.39385986
Element # 21 of GPU resize: 29.70875549
Element # 21 of CPU resize: 29.70875549
Element # 22 of GPU resize: 0.00000000
Element # 22 of CPU resize: 0.00000000
Element # 23 of GPU resize: 0.00000000
Element # 23 of CPU resize: 0.00000000
Element # 24 of GPU resize: 131.74768066
Element # 24 of CPU resize: 131.74768066
Element # 25 of GPU resize: 194.53926086
Element # 25 of CPU resize: 194.53926086
Element # 26 of GPU resize: 195.56134033
Element # 26 of CPU resize: 195.56134033
Element # 27 of GPU resize: 194.34753418
Element # 27 of CPU resize: 194.34753418
Element # 28 of GPU resize: 192.71846008
Element # 28 of CPU resize: 192.71846008
Element # 29 of GPU resize: 193.16828918
Element # 29 of CPU resize: 193.16828918
Element # 30 of GPU resize: 194.04963684
Element # 30 of CPU resize: 194.04963684
Element # 31 of GPU resize: 195.15328979
Element # 31 of CPU resize: 195.15328979
Element # 32 of GPU resize: 196.30026245
Element # 32 of CPU resize: 196.30026245
Element # 33 of GPU resize: 197.01216125
Element # 33 of CPU resize: 197.01216125
Element # 34 of GPU resize: 197.28570557
Element # 34 of CPU resize: 197.28570557
Element # 35 of GPU resize: 197.80908203
Element # 35 of CPU resize: 197.80908203
Element # 36 of GPU resize: 198.30274963
Element # 36 of CPU resize: 198.30274963
Element # 37 of GPU resize: 198.36857605
Element # 37 of CPU resize: 198.36857605
Element # 38 of GPU resize: 198.23176575
Element # 38 of CPU resize: 198.23176575
Element # 39 of GPU resize: 197.62609863
Element # 39 of CPU resize: 197.62609863
Element # 40 of GPU resize: 196.21044922
Element # 40 of CPU resize: 196.21044922
Element # 41 of GPU resize: 193.11366272
Element # 41 of CPU resize: 193.11366272
Element # 42 of GPU resize: 183.35806274
Element # 42 of CPU resize: 183.35806274
Element # 43 of GPU resize: 153.26795959
Element # 43 of CPU resize: 153.26795959
Element # 44 of GPU resize: 93.56730652
Element # 44 of CPU resize: 93.56730652
Element # 45 of GPU resize: 48.72090149
Element # 45 of CPU resize: 48.72090149
Element # 46 of GPU resize: 0.00000000
Element # 46 of CPU resize: 0.00000000
Element # 47 of GPU resize: 0.00000000
Element # 47 of CPU resize: 0.00000000
Element # 48 of GPU resize: 134.99000549
Element # 48 of CPU resize: 134.99000549
Element # 49 of GPU resize: 199.27024841
Element # 49 of CPU resize: 199.27024841
Element # 50 of GPU resize: 199.92333984
Element # 50 of CPU resize: 199.92333984
Element # 51 of GPU resize: 199.20652771
Element # 51 of CPU resize: 199.20652771
Element # 52 of GPU resize: 197.81105042
Element # 52 of CPU resize: 197.81105042
Element # 53 of GPU resize: 194.72612000
Element # 53 of CPU resize: 194.72612000
Element # 54 of GPU resize: 195.05308533
Element # 54 of CPU resize: 195.05308533
Element # 55 of GPU resize: 200.71151733
Element # 55 of CPU resize: 200.71151733
Element # 56 of GPU resize: 203.48054504
Element # 56 of CPU resize: 203.48054504
Element # 57 of GPU resize: 204.08444214
Element # 57 of CPU resize: 204.08444214
Element # 58 of GPU resize: 204.24462891
Element # 58 of CPU resize: 204.24462891
Element # 59 of GPU resize: 204.66976929
Element # 59 of CPU resize: 204.66976929
Element # 60 of GPU resize: 204.43984985
Element # 60 of CPU resize: 204.43984985
Element # 61 of GPU resize: 204.61106873
Element # 61 of CPU resize: 204.61106873
Element # 62 of GPU resize: 204.63201904
Element # 62 of CPU resize: 204.63201904
Element # 63 of GPU resize: 203.73606873
Element # 63 of CPU resize: 203.73606873
Element # 64 of GPU resize: 202.36167908
Element # 64 of CPU resize: 202.36167908
Element # 65 of GPU resize: 198.92640686
